1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,65,65,65,65,65,65,65,65,65,65,65,65,65,24,24,24,24,24,24,24,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,64,64,64,64,64,64,64,64,64,64,64,64,64,25,25,25,25,25,25,25,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,63,63,63,63,63,63,63,63,63,63,63,63,63,26,26,26,26,26,26,26,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,49,49,49,49,49,49,49,49,49,49,49,49,49,62,62,62,62,62,62,62,62,62,62,62,62,62,27,27,27,27,27,27,27,27,27,27,27,27,27,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,48,48,48,48,48,48,48,48,48,48,48,48,48,61,61,61,61,61,61,61,61,61,61,61,61,61,28,28,28,28,28,28,28,28,28,28,28,28,28,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,47,47,47,47,47,39,38,37,47,47,47,47,47,60,60,60,60,60,24,25,26,60,60,60,60,60,29,29,29,29,29,29,29,29,29,29,29,29,29,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,46,46,46,46,46,39,38,37,46,46,46,46,46,59,59,59,59,59,24,25,26,59,59,59,59,59,30,30,30,30,30,30,30,30,30,30,30,30,30,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,45,45,45,45,39,38,45,45,45,45,45,45,58,58,58,58,58,24,25,26,58,58,58,58,58,31,31,31,31,31,31,31,31,31,31,31,31,31,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,45,45,45,45,45,45,12,13,45,45,45,45,45,44,43,42,41,40,39,38,37,36,35,34,33,32,19,20,21,22,23,24,25,26,27,28,29,30,31,32,32,32,32,32,32,32,32,32,32,32,32,32,19,19,19,19,19,63,64,65,19,19,19,19,19,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,46,46,46,46,46,11,12,13,46,46,46,46,46,44,43,42,41,40,39,38,37,36,35,34,33,32,19,20,21,22,23,24,25,26,27,28,29,30,31,33,33,33,33,33,33,33,33,33,33,33,33,33,20,20,20,20,20,63,64,65,20,20,20,20,20,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,47,47,47,47,47,11,12,13,47,47,47,47,47,44,43,42,41,40,39,38,37,36,35,34,33,32,19,20,21,22,23,24,25,26,27,28,29,30,31,34,34,34,34,34,34,34,34,34,34,34,34,34,21,21,21,21,21,63,64,65,21,21,21,21,21,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,48,48,48,48,48,48,48,48,48,48,48,48,48,44,43,42,41,40,39,38,37,36,35,34,33,32,19,20,21,22,23,24,25,26,27,28,29,30,31,35,35,35,35,35,35,35,35,35,35,35,35,35,22,22,22,22,22,22,22,22,22,22,22,22,22,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
